"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2021년 09월 26일","55.9012","54.8389","59.2638","49.8886","7.16M","1.95%"
"2021년 09월 25일","54.8338","52.8908","56.0515","50.6356","3.17M","3.65%"
"2021년 09월 24일","52.9030","57.6001","57.7676","49.2196","4.92M","-8.17%"
"2021년 09월 23일","57.6087","55.7550","60.9015","54.5682","6.27M","3.32%"
"2021년 09월 22일","55.7566","51.1792","58.1781","50.7995","4.17M","8.94%"
"2021년 09월 21일","51.1792","52.8767","58.4822","48.1040","5.73M","-3.19%"
"2021년 09월 20일","52.8654","60.8013","60.8684","51.0003","5.21M","-13.05%"
"2021년 09월 19일","60.8013","63.7301","64.0439","59.9411","1.77M","-4.70%"
"2021년 09월 18일","63.7977","61.5608","66.3732","61.3298","2.69M","3.65%"
"2021년 09월 17일","61.5493","67.4468","68.1805","58.6444","3.16M","-8.74%"
"2021년 09월 16일","67.4468","71.1406","71.5803","65.9844","1.79M","-5.19%"
"2021년 09월 15일","71.1406","67.6503","72.9046","66.6786","2.79M","5.18%"
"2021년 09월 14일","67.6398","68.3817","69.1271","65.6326","2.62M","-1.04%"
