"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2022년 08월 03일","22,820.8","22,988.7","23,623.7","22,698.6","174.66K","-0.73%"
"2022년 08월 02일","22,988.6","23,271.1","23,423.3","22,670.8","177.30K","-1.21%"
"2022년 08월 01일","23,271.2","23,303.4","23,484.4","22,863.8","162.33K","-0.14%"
"2022년 07월 31일","23,303.4","23,634.2","24,179.3","23,236.2","138.84K","-1.40%"
"2022년 07월 30일","23,634.2","23,774.2","24,605.3","23,521.8","168.72K","-0.59%"
"2022년 07월 29일","23,774.3","23,850.2","24,340.0","23,451.4","221.66K","-0.32%"
"2022년 07월 28일","23,850.0","22,957.7","24,190.5","22,611.6","268.32K","3.88%"
"2022년 07월 27일","22,958.3","21,248.0","23,027.8","21,047.5","242.66K","8.05%"
"2022년 07월 26일","21,248.7","21,301.6","21,322.3","20,737.3","201.57K","-0.25%"
"2022년 07월 25일","21,301.9","22,582.3","22,653.3","21,275.4","206.93K","-5.67%"
"2022년 07월 24일","22,582.1","22,449.8","22,987.9","22,281.3","126.66K","0.54%"
"2022년 07월 23일","22,460.4","22,683.6","22,991.0","21,971.7","137.42K","-0.95%"
"2022년 07월 22일","22,675.2","23,150.0","23,741.4","22,524.2","197.54K","-2.06%"
"2022년 07월 21일","23,153.0","23,219.9","23,403.8","22,360.2","217.08K","-0.27%"
"2022년 07월 20일","23,215.2","23,412.0","24,258.0","22,944.4","281.31K","-0.83%"
"2022년 07월 19일","23,410.2","22,529.3","23,757.3","21,581.8","308.91K","3.93%"
"2022년 07월 18일","22,525.8","20,785.6","22,714.9","20,770.6","279.72K","8.37%"
"2022년 07월 17일","20,785.6","21,209.8","21,654.4","20,755.2","132.81K","-2.00%"
"2022년 07월 16일","21,209.9","20,825.2","21,561.3","20,484.4","136.89K","1.85%"
"2022년 07월 15일","20,825.1","20,586.1","21,178.1","20,393.4","164.67K","1.16%"
"2022년 07월 14일","20,586.0","20,250.0","20,862.2","19,664.9","205.28K","1.66%"
"2022년 07월 13일","20,250.0","19,331.6","20,250.8","18,942.2","249.38K","4.75%"
"2022년 07월 12일","19,330.9","19,963.2","20,051.7","19,279.6","167.91K","-3.17%"
"2022년 07월 11일","19,963.2","20,847.2","20,855.0","19,897.0","160.20K","-4.24%"
"2022년 07월 10일","20,847.4","21,587.4","21,599.2","20,689.7","204.68K","-3.43%"
"2022년 07월 09일","21,587.5","21,610.4","21,944.1","21,338.4","190.11K","-0.11%"
"2022년 07월 08일","21,611.2","21,637.1","22,482.1","21,207.0","439.90K","-0.12%"
"2022년 07월 07일","21,637.8","20,557.9","21,817.8","20,282.7","115.81K","5.24%"
"2022년 07월 06일","20,561.1","20,180.4","20,654.9","19,785.3","105.24K","1.78%"
"2022년 07월 05일","20,200.6","20,215.8","20,706.9","19,315.4","122.43K","-0.08%"
"2022년 07월 04일","20,215.8","19,310.6","20,303.8","19,052.5","92.79K","4.69%"
"2022년 07월 03일","19,309.9","19,243.4","19,626.4","18,794.4","65.27K","0.35%"
"2022년 07월 02일","19,243.2","19,275.4","19,425.4","19,006.4","58.57K","-0.10%"
"2022년 07월 01일","19,262.9","19,926.6","20,785.6","18,980.1","150.18K","-3.33%"
"2022년 06월 30일","19,926.6","20,111.3","20,155.1","18,682.7","127.73K","-0.92%"
"2022년 06월 29일","20,111.3","20,278.0","20,415.8","19,880.7","98.97K","-0.82%"
"2022년 06월 28일","20,278.0","20,727.9","21,200.2","20,210.5","83.83K","-2.18%"
"2022년 06월 27일","20,730.2","21,037.7","21,497.5","20,568.0","84.69K","-1.49%"
"2022년 06월 26일","21,043.5","21,489.9","21,837.4","20,989.7","67.21K","-2.08%"
"2022년 06월 25일","21,489.9","21,226.9","21,553.4","20,917.5","66.63K","1.24%"
"2022년 06월 24일","21,226.9","21,100.9","21,488.7","20,743.9","104.56K","0.60%"
"2022년 06월 23일","21,100.7","19,967.3","21,189.8","19,907.5","110.70K","5.68%"
"2022년 06월 22일","19,965.8","20,720.2","20,864.3","19,780.2","125.94K","-3.64%"
"2022년 06월 21일","20,720.4","20,571.6","21,689.3","20,371.7","136.32K","0.72%"
"2022년 06월 20일","20,572.3","20,576.9","20,996.8","19,658.8","140.60K","-0.02%"
"2022년 06월 19일","20,577.2","18,983.4","20,763.5","17,983.7","169.39K","8.38%"
"2022년 06월 18일","18,986.5","20,446.4","20,744.7","17,630.5","267.25K","-7.13%"
"2022년 06월 17일","20,444.6","20,391.3","21,315.4","20,244.1","136.27K","0.28%"
"2022년 06월 16일","20,386.6","22,577.9","22,942.1","20,231.1","144.00K","-9.71%"
"2022년 06월 15일","22,577.9","22,137.5","22,754.4","20,125.8","280.41K","1.90%"
"2022년 06월 14일","22,157.3","22,449.1","23,200.3","20,860.9","251.01K","-1.29%"
"2022년 06월 13일","22,448.0","26,606.3","26,857.6","22,006.3","379.26K","-15.63%"
"2022년 06월 12일","26,606.3","28,404.0","28,534.8","26,606.3","120.02K","-6.33%"
"2022년 06월 11일","28,403.4","29,083.3","29,426.6","28,161.8","82.92K","-2.34%"
"2022년 06월 10일","29,083.3","30,097.4","30,325.6","28,884.9","104.26K","-3.37%"
"2022년 06월 09일","30,097.8","30,202.1","30,691.4","29,953.8","61.72K","-0.34%"
"2022년 06월 08일","30,201.6","31,127.2","31,312.1","29,874.8","87.96K","-2.98%"
"2022년 06월 07일","31,128.8","31,370.3","31,556.6","29,235.0","140.32K","-0.76%"
"2022년 06월 06일","31,367.6","29,911.2","31,753.4","29,888.6","94.01K","4.86%"
"2022년 06월 05일","29,913.0","29,865.1","30,166.9","29,539.0","30.33K","0.16%"
"2022년 06월 04일","29,864.3","29,700.9","29,963.8","29,489.5","33.51K","0.55%"
"2022년 06월 03일","29,700.9","30,455.7","30,674.8","29,330.8","72.13K","-2.48%"
"2022년 06월 02일","30,455.5","29,798.6","30,638.5","29,604.4","81.40K","2.20%"
"2022년 06월 01일","29,798.5","31,793.1","31,969.9","29,396.6","135.09K","-6.27%"
"2022년 05월 31일","31,793.4","31,730.2","32,377.5","31,221.2","86.60K","0.22%"
"2022년 05월 30일","31,723.3","29,465.2","32,185.6","29,307.2","129.56K","7.66%"
"2022년 05월 29일","29,465.2","29,027.1","29,556.5","28,838.7","36.87K","1.51%"
"2022년 05월 28일","29,027.1","28,620.1","29,194.4","28,537.2","43.87K","1.49%"
"2022년 05월 27일","28,601.2","29,194.0","29,377.1","28,282.2","116.41K","-2.06%"
"2022년 05월 26일","29,203.5","29,537.9","29,868.9","28,077.9","126.71K","-1.14%"
"2022년 05월 25일","29,540.6","29,648.7","30,202.3","29,353.5","78.85K","-0.36%"
"2022년 05월 24일","29,648.7","29,091.6","29,810.8","28,706.1","79.42K","1.91%"
"2022년 05월 23일","29,093.3","30,287.3","30,644.8","28,913.6","92.10K","-3.94%"
"2022년 05월 22일","30,286.6","29,433.0","30,462.0","29,260.1","50.60K","2.89%"
"2022년 05월 21일","29,434.6","29,188.7","29,623.2","28,953.9","32.27K","0.88%"
"2022년 05월 20일","29,178.6","30,305.9","30,735.1","28,738.5","98.78K","-3.72%"
"2022년 05월 19일","30,305.9","28,700.4","30,525.1","28,682.1","101.38K","5.66%"
"2022년 05월 18일","28,683.7","30,437.5","30,687.9","28,648.1","92.03K","-5.76%"
"2022년 05월 17일","30,437.5","29,856.7","30,720.1","29,484.5","79.63K","1.97%"
"2022년 05월 16일","29,849.0","31,308.3","31,312.4","29,135.8","100.25K","-4.66%"
"2022년 05월 15일","31,308.7","30,078.6","31,383.8","29,499.4","65.44K","4.08%"
"2022년 05월 14일","30,080.4","29,285.2","30,277.4","28,666.7","70.46K","2.72%"
"2022년 05월 13일","29,284.4","28,994.3","31,002.7","28,755.0","141.23K","1.06%"
"2022년 05월 12일","28,976.0","29,073.4","30,136.7","26,500.5","309.48K","-0.32%"
"2022년 05월 11일","29,068.2","31,008.0","32,113.6","27,835.5","296.90K","-6.25%"
"2022년 05월 10일","31,007.5","30,098.2","32,621.2","29,831.0","235.61K","3.03%"
"2022년 05월 09일","30,095.0","34,041.0","34,227.0","30,095.0","268.09K","-11.64%"
"2022년 05월 08일","34,060.0","35,468.0","35,497.0","33,727.0","671.05M","-3.97%"
"2022년 05월 07일","35,468.0","36,003.0","36,119.0","34,773.0","288.86M","-1.50%"
"2022년 05월 06일","36,009.0","36,540.0","36,646.0","35,267.0","752.84M","-1.46%"
"2022년 05월 05일","36,544.0","39,686.0","39,833.0","36,183.0","1.04B","-7.92%"
"2022년 05월 04일","39,688.0","37,717.0","40,021.0","37,660.0","691.49M","5.22%"
"2022년 05월 03일","37,718.0","38,515.0","38,647.0","37,513.0","367.21M","-2.07%"
"2022년 05월 02일","38,514.0","38,472.0","39,134.0","38,061.0","580.79M","0.14%"
"2022년 05월 01일","38,461.0","37,642.0","38,676.0","37,397.0","276.99M","2.15%"
"2022년 04월 30일","37,650.0","38,590.0","38,776.0","37,596.0","248.22M","-2.41%"
"2022년 04월 29일","38,581.0","39,748.0","39,919.0","38,175.0","382.90M","-2.94%"
"2022년 04월 28일","39,748.0","39,243.0","40,382.0","38,888.0","542.39M","1.29%"
"2022년 04월 27일","39,243.0","38,113.0","39,447.0","37,869.0","426.83M","2.96%"
"2022년 04월 26일","38,113.0","40,443.0","40,770.0","37,708.0","681.47M","-5.72%"
"2022년 04월 25일","40,427.0","39,464.0","40,599.0","38,233.0","654.60M","2.44%"
"2022년 04월 24일","39,464.0","39,434.0","39,929.0","39,033.0","283.63M","0.12%"
"2022년 04월 23일","39,418.0","39,709.0","39,973.0","39,291.0","190.60M","-0.73%"
"2022년 04월 22일","39,709.0","40,487.0","40,792.0","39,200.0","421.30M","-1.91%"
"2022년 04월 21일","40,482.0","41,370.0","42,969.0","39,793.0","493.05M","-2.14%"
"2022년 04월 20일","41,368.0","41,499.0","42,203.0","40,915.0","382.84M","-0.33%"
"2022년 04월 19일","41,503.0","40,809.0","41,746.0","40,585.0","268.28M","1.72%"
